2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:25 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Completed route status sync
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Starting route status sync with Camel context
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348 not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
2025-08-30 13:51:26 [scheduling-1] INFO  c.m.b.k.service.DynamicRouteService - Route route-1348_test-route not found in context and DB says inactive → skipping
